Number,Registration,Details,Product,MPG,Odometer,Distance,Unit,MPG with Platoon Operation
4474,YK59HYC,Mercedes Econic 3 Axle Bin,Diesel,2.85,190004,10125,Kilometres,2.72
4475,YK59HXX,Mercedes Econic 3 Axle Bin,Diesel,3.31,169783,12890,Kilometres,3.16
4476,YK59HYA,Mercedes Econic 3 Axle Bin,Diesel,3.13,169710,11786,Kilometres,2.99
4477,YK59HXY,Mercedes Econic 3 Axle Bin,Diesel,3.15,163966,10641,Kilometres,3.01
4478,YK59HXZ,Mercedes Econic 3 Axle Bin,Diesel,3.3,148669,11474,Kilometres,3.15
4480,YK59HYF,Mercedes Econic 3 Axle Bin,Diesel,2.95,156265,12148,Kilometres,2.82
4481,YE11YHB,Mercedes Econic 3 Axle Bin,Diesel,2.99,138993,8682,Kilometres,2.86
4483,VN12LFX,Dennis Elite 3 Axle Bin,Diesel,4.66,139156,16868,Kilometres,4.45
4484,VU62HOA,Dennis Elite 3 Axle Bin,Diesel,3.19,74395,8946,Kilometres,3.05
4485,VU62HOH,Dennis Elite 3 Axle Bin,Diesel,2.96,93055,8305,Kilometres,2.83
4486,VU62HPA,Dennis Elite 3 Axle Bin,Diesel,3.33,85178,9067,Kilometres,3.18
4487,VU62HPC,Dennis Elite 3 Axle Bin,Diesel,2.49,74307,8852,Kilometres,2.38
4493,VO13UWD,Dennis Elite 3 Axle Bin,Diesel,4.05,57609,4663,Kilometres,3.87
4495,YJ13MTX,Mercedes Econic Low Entry 3 Axle Bin,CNG,4.42,73555,9843,Miles,4.22
4496,YJ13MTV,Mercedes Econic Low Entry 3 Axle Bin,CNG,5.27,76997,9819,Miles,5.04
4497,YF62EAX,Mercedes Econic Low Entry 3 Axle Bin,CNG,3.83,81748,7837,Miles,3.66
4498,YF62EAY,Mercedes Econic Low Entry 3 Axle Bin,CNG,5.74,69550,10015,Miles,5.48
4610,PO13AYP,Renault Kerax Hookloader,Diesel,5.41,162867,23101,Kilometres,5.17
4611,PO13AYS,Renault Kerax Hookloader,Diesel,5.3,192077,24875,Kilometres,5.06
4612,PO13AYU,Renault Kerax Hookloader,Diesel,5.1,172675,19836,Kilometres,4.87
4613,PO13AYT,Renault Kerax Hookloader,Diesel,5.19,184143,23346,Kilometres,4.96
4614,PO13AYV,Renault Kerax Hookloader,Diesel,5.05,167764,17721,Kilometres,4.83
4615,YE16YPP,Mercedes Arocs Hookloader,Diesel,5.39,80191,29244,Kilometres,5.15
4616,YE16YPR,Mercedes Arocs Hookloader,Diesel,5.23,73568,24100,Kilometres,5
4617,YE16YPT,Mercedes Arocs Hookloader,Diesel,5.16,61859,20248,Kilometres,4.93
